nombre,tipo,color,talla,material,estado,puestas,id
Blusa casual,Playera,Azul,M,Seda,Limpia,0,1
Pantalon de mezclilla,Pantalon,Azul,32,Algodón,Limpia,0,2
Chamarra de cuero,Chamarra,Negro,M,Cuero,Lavando,3,3
Zapatos deportivos,Zapatos,Blanco,M,Sintético,Limpia,0,4
Accesorio de moda,Accesorio,Dorado,U,Plástico,Limpia,0,5
Ropa interior,Playera,Blanco,S,Algodón,Limpia,0,6
Calcetines deportivos,Calcetines,Blanco,M,Algodón,Lavando,2,7
Camiseta básica,Playera,Blanco,M,Algodón,Lavando,1,8
Pantalón de vestir,Pantalon,Negro,32,Lana,Limpia,0,9
Cazadora,Chamarra,Verde,M,Nailon,Limpia,0,10
Sneakers,Zapatos,Gris,38,Sintético,Lavando,5,11
Gafas de sol,Accesorio,Negro,U,Plástico,Limpia,0,12
Sujetador,Playera,Rojo,34,Algodón,Limpia,0,13
Medias de lana,Calcetines,Gris,M,Lana,Limpia,0,14
Blusa de flores,Playera,Rosa,M,Seda,Limpia,0,15
Vaqueros ajustados,Pantalon,Azul,32,Denim,Limpia,0,16
Chaqueta de invierno,Chamarra,Negro,M,Lana,Limpia,0,17
Camisa hawaiana,Playera,Verde,M,Algodón,Limpia,0,18
Falda midi,Pantalon,Negro,M,Seda,Limpia,0,19
Botas de lluvia,Zapatos,Negro,38,Caucho,Limpia,0,20
Collar,Accesorio,Plata,U,Metal,Limpia,0,21
Brasier de encaje,Playera,Negro,34,Algodón,Limpia,0,22
Calcetines de vestir,Calcetines,Negro,M,Algodón,Limpia,0,23
Top de tirantes,Playera,Blanco,S,Algodón,Lavando,1,24
Pantalon corto,Pantalon,Azul,32,Algodón,Limpia,0,25
Chaqueta de mezclilla,Chamarra,Azul,M,Algodón,Limpia,0,26
Zapato de tacón,Zapatos,Negro,34,Cuero,Limpia,0,27
Bolso de mano,Accesorio,Negro,U,Cuero,Limpia,0,28
Pijama,Playera,Blanco,M,Algodón,Limpia,0,29
Medias de nylon,Calcetines,Negro,M,Nylon,Limpia,0,30
Blusa blanca,Playera,Blanco,M,Algodón,Limpia,0,31
Pantalon de vestir negro,Pantalon,Negro,32,Lana,Limpia,0,32
Chamarra de plumas,Chamarra,Azul,M,Plumas,Limpia,0,33
Tenis,Zapatos,Blanco,M,Sintético,Limpia,0,34
Corbata,Accesorio,Rojo,U,Seda,Limpia,0,35
Braguita,Playera,Blanco,S,Algodón,Limpia,0,36
Calcetines largos,Calcetines,Gris,M,Algodón,Limpia,0,37
Blusa de manga corta,Playera,Azul,M,Algodón,Limpia,0,38
Pantalón de chándal,Pantalon,Azul,M,Algodón,Limpia,0,39
Chaqueta de senderismo,Chamarra,Verde,M,Nylon,Limpia,0,40
Botas de montaña,Zapatos,Negro,G,Caucho,Limpia,0,41
Gorra,Accesorio,Blanco,M,Algodón,Limpia,0,42
Sujetador deportivo,Playera,Negro,S,Algodón,Limpia,0,43
Calcetines de deporte,Calcetines,Negro,L,Sintético,Limpia,0,44
Shorts de baño,Pantalon,Azul,M,Algodón,Limpia,0,45
Bañador,Playera,Azul,M,Algodón,Limpia,0,46
Chanclas,Zapatos,Verde,38,Caucho,Limpia,0,47
Toalla de playa,Accesorio,Blanco,100x100,Algodón,Limpia,0,48
Gorro de sol,Accesorio,Blanco,M,Algodón,Limpia,0,49
Gafas de sol de playa,Accesorio,Negro,M,Plástico,Limpia,0,50
Sandalias,Zapatos,Negro,38,Cuero,Limpia,0,51
Vestido de verano,Playera,Blanco,M,Algodón,Limpia,0,52
Falda de verano,Pantalon,Verde,M,Algodón,Limpia,0,53
Top de verano,Playera,Blanco,M,Algodón,Limpia,0,54
Sombrero de paja,Accesorio,Marrón,M,Paja,Limpia,0,55
Bolso de playa,Accesorio,Blanco,M,Algodón,Limpia,0,56
Bikini,Playera,Azul,M,Algodón,Limpia,0,57
Trikini,Playera,Verde,M,Algodón,Limpia,0,58
Bañador de hombre,Playera,Azul,M,Algodón,Limpia,0,59
Shorts de baño de hombre,Pantalon,Azul,M,Algodón,Limpia,0,60
Chanclas de hombre,Zapatos,Verde,38,Caucho,Limpia,0,61
Sombrero de paja de hombre,Accesorio,Marrón,M,Paja,Limpia,0,62
Gafas de sol de playa de hombre,Accesorio,Negro,M,Plástico,Limpia,0,63
Camisa de manga corta,Playera,Blanco,M,Algodón,Limpia,0,64
Pantalón corto de hombre,Pantalon,Azul,M,Algodón,Limpia,0,65
Zapatos de hombre,Zapatos,Negro,38,Cuero,Limpia,0,66
Tenis,Zapatos,Blanco,M,Sintetico,Limpia,2,67
Corbata,Accesorio,Rojo,U,Seda,Limpia,2,68
Braguita,Playera,Blanco,S,Algodon,Limpia,2,69
Calcetines largos,Calcetines,Gris,M,Algodon,Limpia,2,70
Blusa de manga corta,Playera,Azul,M,Algodon,Limpia,2,71
Blusa casual,Playera,Azul,M,Seda,Limpia,2,72
Pantalon de mezclilla,Pantalón,Azul,32,Algodon,Limpia,2,73
Chamarra de cuero,Chamarra,Negro,M,Piel,Lavando,3,74
Zapatos deportivos,Zapatos,Blanco,M,Sintetico,Limpia,2,75
Accesorio de moda,Accesorio,Gold,U,Plastico,Limpia,2,76
Ropa interior,Playera,Blanco,S,Algodon,Limpia,2,77
Calcetines deportivos,Calcetines,Blanco,M,Algodon,Lavando,2,78
Camiseta básica,Playera,Blanco,M,Algodon,Lavando,2,79
Pantalón de vestir,Pantalón,Negro,32,Lana,Limpia,2,80
Cazadora,Chamarra,Verde,M,Nylon,Limpia,2,81
Sneakers,Zapatos,Gris,38,Sintetico,Lavando,5,82
Gafas de sol,Accesorio,Negro,U,Plastico,Limpia,2,83
Sujetador,Playera,Rojo,34,Algodon,Limpia,2,84
Medias de lana,Calcetines,Gris,M,Lana,Limpia,2,85
Blusa de flores,Playera,Pink,M,Seda,Limpia,2,86
Vaqueros ajustados,Pantalón,Azul,32,Denim,Limpia,2,87
Chaqueta de invierno,Chamarra,Negro,M,Lana,Limpia,2,88
Camisa hawaiana,Playera,Verde,M,Algodon,Limpia,2,89
Falda midi,Pantalón,Negro,M,Seda,Limpia,2,90
Botas de lluvia,Zapatos,Negro,38,Rubber,Limpia,2,91
Collar,Accesorio,Metal,U,Metal,Limpia,2,92
Brasier de encaje,Playera,Negro,34,Algodon,Limpia,2,93
Calcetines de vestir,Calcetines,Negro,M,Algodon,Limpia,2,94
Top de tirantes,Playera,Blanco,S,Algodon,Lavando,2,95
Pantalon corto,Pantalón,Azul,32,Algodon,Limpia,2,96
Chaqueta de mezclilla,Chamarra,Azul,M,Algodon,Limpia,2,97
Zapato de tacón,Zapatos,Negro,34,Piel,Limpia,2,98
Bolso de mano,Accesorio,Negro,U,Piel,Limpia,2,99
Pijama,Playera,Blanco,M,Algodon,Limpia,2,100
Medias de nylon,Calcetines,Negro,M,Nylon,Limpia,2,101
Blusa blanca,Playera,Blanco,M,Algodon,Limpia,2,102
Pantalon de vestir negro,Pantalón,Negro,32,Lana,Limpia,2,103
Chamarra de plumas,Chamarra,Azul,M,Down,Limpia,2,104


